"County","Domain","Subdomain","Element","Item","Value","Unit","Year","Source","Flag"
"Samburu","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.97303822","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Samburu","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.70436673","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Siaya","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.17621491","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Siaya","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.22298521","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Siaya","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.63755614","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Siaya","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.04160307","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Taita Taveta","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.97828988","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Taita Taveta","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.66330201","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Taita Taveta","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.27424094","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Taita Taveta","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.95019190","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Tana River","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.84184711","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Tana River","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.45111189","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Tana River","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.22535873","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Tana River","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.23733703","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Tharaka-Nithi","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.48873342","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Tharaka-Nithi","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.64950782","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Tharaka-Nithi","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.19402045","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Tharaka-Nithi","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.87429145","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Trans-Nzoia","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","4.00284376","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Trans-Nzoia","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","4.59980925","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Trans-Nzoia","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","3.90153056","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
"Trans-Nzoia","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","3.57357578","Tons per Hectare","2022","Ministry of Agriculture and Livestock Development","Estimated Value"
"Turkana","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.63704848","Tons per Hectare","2019","Ministry of Agriculture and Livestock Development","Estimated Value"
"Turkana","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","1.04333198","Tons per Hectare","2020","Ministry of Agriculture and Livestock Development","Estimated Value"
"Turkana","Crops Productivity","Crops Primary","Crop Yield","Maize (Yield)","0.89111969","Tons per Hectare","2021","Ministry of Agriculture and Livestock Development","Estimated Value"
